0,79,187,255,219,357,209,290,333,242,298,199,235,189,109,126,213,373,304,204,154
79,0,105,166,130,277,119,241,246,153,209,110,156,116,24,58,126,285,215,116,84
187,105,0,95,44,237,52,273,184,76,128,70,145,26,95,124,23,211,134,68,37
255,166,95,0,41,133,40,210,79,9,34,47,77,128,137,139,65,111,39,41,140
219,130,44,41,0,183,9,237,130,22,76,35,103,77,108,122,15,158,82,30,90
357,277,237,133,183,0,176,158,57,152,119,167,113,271,243,222,208,80,116,165,279
209,119,52,40,9,176,0,220,128,24,81,16,87,87,94,105,30,161,86,11,93
290,241,273,210,237,158,220,0,198,221,231,195,125,307,211,172,260,239,231,199,296
333,246,184,79,130,57,128,198,0,98,54,127,102,216,215,204,153,36,50,123,230
242,153,76,9,22,152,24,221,98,0,47,39,86,109,127,133,46,128,52,32,122
298,209,128,34,76,119,81,231,54,47,0,91,106,157,181,182,95,73,-4,85,175
199,110,70,47,35,167,16,195,127,39,91,0,65,105,81,84,55,165,96,-3,104
235,156,145,77,103,113,87,125,102,86,106,65,0,181,122,99,127,148,108,67,177
189,116,26,128,77,271,87,307,216,109,157,105,181,0,115,150,53,239,162,104,25
109,24,95,137,108,243,94,211,215,127,181,81,122,115,0,30,109,254,186,87,89
126,58,124,139,122,222,105,172,204,133,182,84,99,150,30,0,131,247,187,91,127
213,126,23,65,15,208,30,260,153,46,95,55,127,53,109,131,0,178,101,51,70
373,285,211,111,158,80,161,239,36,128,73,165,148,239,254,247,178,0,67,160,258
304,215,134,39,82,116,86,231,50,52,-4,96,108,162,186,187,101,67,0,90,180
204,116,68,41,30,165,11,199,123,32,85,-3,67,104,87,91,51,160,90,0,105
154,84,37,140,90,279,93,296,230,122,175,104,177,25,89,127,70,258,180,105,0
